compound_name,family,source_paper,raw_literature_rt_min,raw_literature_rt_s,normalization_method,anchor_rt_min,anchor_scale_factor,normalized_rt_s,predicted_rt_s,pct_deviation,anomaly_probability,true_label,predicted_label,correct
Caffeine,caffeine,Ribeiro 2019,4.5,270.0,caffeine-anchor,4.5,2.384444444444444,643.8,662.1972045898438,2.778206320160893,0.04947409778833389,GENUINE,GENUINE,True
Caffeine,caffeine,Acheampong 2016,7.2,432.0,caffeine-anchor,7.2,1.4902777777777776,643.8,662.1972045898438,2.778206320160893,0.04947409778833389,GENUINE,GENUINE,True
Caffeine,caffeine,Srdjenovic 2008,9.0,540.0,caffeine-anchor,9.0,1.192222222222222,643.8,662.1972045898438,2.778206320160893,0.04947409778833389,GENUINE,GENUINE,True
Caffeine,caffeine,Scott & Marks 1984,18.0,1080.0,caffeine-anchor,18.0,0.596111111111111,643.8,662.1972045898438,2.778206320160893,0.04947409778833389,GENUINE,GENUINE,True
Theophylline,methylxanthine,Scott & Marks 1984,9.4,564.0,caffeine-anchor,18.0,0.596111111111111,336.20666666666665,562.9666137695312,40.27946623415508,0.9996553659439087,ANOMALY,ANOMALY,True
Theophylline,methylxanthine,Srdjenovic 2008,5.8,348.0,caffeine-anchor,9.0,1.192222222222222,414.89333333333326,562.9666137695312,26.3023200336382,0.9996553659439087,ANOMALY,ANOMALY,True
Theobromine,methylxanthine,Scott & Marks 1984,5.4,324.0,caffeine-anchor,18.0,0.596111111111111,193.14,562.9666137695312,65.69245932600398,0.9996553659439087,ANOMALY,ANOMALY,True
Theobromine,methylxanthine,Srdjenovic 2008,4.2,252.0,caffeine-anchor,9.0,1.192222222222222,300.43999999999994,562.9666137695312,46.63271450711732,0.9996553659439087,ANOMALY,ANOMALY,True
Paraxanthine,methylxanthine,Scott & Marks 1984,8.0,480.0,caffeine-anchor,18.0,0.596111111111111,286.1333333333333,553.8949584960938,48.34158915072501,0.9997205138206482,ANOMALY,ANOMALY,True
Aspirin,aspirin,Singh 2012,2.6,156.0,median-anchor fallback,4.4,2.4386363636363635,380.4272727272727,682.9114379882812,44.29332244779289,0.9995009899139404,GENUINE,ANOMALY,False
Aspirin,aspirin,Musumeci 2021,5.8,348.0,median-anchor fallback,4.45,2.4112359550561795,839.1101123595505,682.9114379882812,22.872464229241626,0.9998113512992859,GENUINE,ANOMALY,False
Salicylic acid,salicylate,Singh 2012,1.42,85.19999999999999,median-anchor fallback,4.4,2.4386363636363635,207.77181818181813,655.0480346679688,68.28143782048996,0.9997093081474304,ANOMALY,ANOMALY,True
Salicylic acid,salicylate,Musumeci 2021,3.1,186.0,median-anchor fallback,4.45,2.4112359550561795,448.4898876404494,655.0480346679688,31.533282461067103,0.9997093081474304,ANOMALY,ANOMALY,True
Acetylsalicylsalicylic acid,salicylate,Singh 2012,8.35,501.0,median-anchor fallback,4.4,2.4386363636363635,1221.756818181818,807.6615600585938,51.27088852578087,0.9999006986618042,ANOMALY,ANOMALY,True
Salsalate,salicylate,Singh 2012,6.2,372.0,median-anchor fallback,4.4,2.4386363636363635,907.1727272727272,746.7276000976562,21.486433225996755,0.9999016523361206,ANOMALY,ANOMALY,True
